addr,covered,name,price,time,type_home
昌平区-朱辛庄东侧约50米,总建面 28万 ㎡ 2017年10月16日开盘 浏览,TBD万科天地,均价 38000 元/㎡,2017年10月16日开盘 浏览,写字楼 品牌地产
"门头沟区-门头沟西长安西城,长安街西延线南侧约500米",3居/4居/5居及以上 建面 143~247 ㎡ 顺销开盘 浏览,电建金地华宸,均价 65000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
"丰台区-丰台西四环看丹桥西,资和信百货西北侧",3居 建面 103~142 ㎡ 2017年05月01日开盘 浏览,北京泽信公馆,均价 76000 元/㎡,2017年05月01日开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-北京市昌平区北七家北亚花园东路,4居/5居及以上 建面 210~400 ㎡ 2017年09月24日开盘 浏览,金隅上城郡,均价 45000 元/㎡,2017年09月24日开盘 浏览,别墅 品牌地产 交通便利
延庆县-北京市延庆区延琉路与八峪路交叉口,2居/3居 建面 75~90 ㎡ 2017年2月26日					开盘 浏览,城建万科城,均价 25500 元/㎡,2017年2月26日					开盘 浏览,普通住宅 品牌地产 交通便利 低总价 小户型
房山区-长沟国家湿地公园南侧,4居 建面 280~435 ㎡ 2015年06月06日开盘 浏览,长海御墅,均价 23000 元/㎡,2015年06月06日开盘 浏览,别墅 品牌地产 交通便利
朝阳区-东三环十里河弘燕路,顺销开盘 浏览,山水文园,均价 95000 元/㎡,,普通住宅 品牌地产 交通便利 非毛坯
昌平区-昌平区北七家镇立汤路7号院,3居/4居/5居及以上 建面 365~516 ㎡ 2015年11月15日开盘 浏览,北辰红橡墅,均价 32000 元/㎡,2015年11月15日开盘 浏览,别墅 品牌地产 交通便利
朝阳区-东苇路3号,5居及以上 建面 897 ㎡ 2014年06月01日开盘 浏览,九章别墅,均价 90000 元/㎡,2014年06月01日开盘 浏览,别墅 品牌地产 交通便利
昌平区-兴寿镇京承高速G11出口向西怀昌路北侧,4居/5居及以上 建面 517~863 ㎡ 2016年08月06日开盘 浏览,凯德麓语,均价 35000 元/㎡,2016年08月06日开盘 浏览,别墅 品牌地产 交通便利
亦庄开发区-经海一路与科创十二街交汇处向东200米,总建面 20.48万 ㎡ 2015年10月12日开盘 浏览,北京经开壹中心,售价 待定 ,2015年10月12日开盘 浏览,综合体商铺 品牌地产 交通便利
西城区-广安门外大街305号，莲花池东路，会城门桥南200米,2016-07-09开盘 浏览,玺源台,售价 待定 ,,普通住宅 品牌地产 交通便利
通州区-通州运河CBD新华东街与滨河中路南500米,总建面 3.6万 ㎡ 2018-09-01开盘 浏览,北京惠通中心,售价 待定 ,2018-09-01开盘 浏览,综合体商铺 品牌地产 交通便利
通州区-通州运河CBD新华东街与滨河中路南500米,总建面 3.6万 ㎡ 2018-09-01开盘 浏览,北京惠通中心,售价 待定 ,2018-09-01开盘 浏览,写字楼 品牌地产 交通便利
环京-张家口市-张家口市桥东区桥东区五一路与东环路交叉口东北处,2018-07-26开盘 浏览,博翠天宸,售价 待定 ,,普通住宅 品牌地产 交通便利
门头沟区-门头沟永定镇石龙西路与三石路交叉口向西200米南侧,3居/4居 建面 137~190 ㎡ 2017年01月01日开盘 浏览,丽景长安,均价 56900 元/㎡,2017年01月01日开盘 浏览,普通住宅 交通便利 非毛坯
朝阳区-北京市朝阳区工人体育场北路9号,1居 建面 139~183 ㎡ 2018-05-04开盘 浏览,铜雀,均价 130000 元/㎡,2018-05-04开盘 浏览,普通住宅 品牌地产 交通便利
大兴区-北京市南四环榴乡桥东南角,3居/4居 建面 185~214 ㎡ 2017年01月12日开盘 浏览,中冶德贤公馆,均价 85000 元/㎡,2017年01月12日开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-昌平未来科技城南区内科技城路与南区一路交界处,3居/4居 建面 104~136 ㎡ 顺销开盘 浏览,东方蓝海中心,均价 57000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
昌平区-昌平北七家镇定泗路与七北路交叉口东南角,5居及以上 建面 341~418 ㎡ 2017年03月31日开盘 浏览,国瑞熙墅,均价 46836 元/㎡,2017年03月31日开盘 浏览,别墅 品牌地产 交通便利
顺义区-北京市顺义区顺兴街9号院,3居/4居 建面 158~223 ㎡ 2015年08月08日开盘 浏览,中铁花溪渡,均价 45000 元/㎡,2015年08月08日开盘 浏览,别墅 品牌地产 交通便利
房山区-长阳地铁站南侧50米,1居/2居/3居 建面 50~83 ㎡ 2016年06月25日开盘 浏览,首开熙悦湾,均价 24000 元/㎡,2016年06月25日开盘 浏览,公寓 品牌地产 交通便利
门头沟区-长安街西延线与滨河路南延交汇处（东南侧）,总建面 24万 ㎡ 2017年05月01日开盘 浏览,远洋新天地,均价 90000 元/㎡,2017年05月01日开盘 浏览,综合体商铺 品牌地产 交通便利
门头沟区-长安街西延线与滨河路南延交汇处（东南侧）,总建面 24万 ㎡ 顺销开盘 浏览,远洋新天地,均价 38000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
顺义区-林河南大街与顺仁路交汇处向北100米处路西,总建面 13万 ㎡ 顺销开盘 浏览,中国铁建顺鑫汇,均价 50000 元/㎡,顺销开盘 浏览,综合体商铺 品牌地产 交通便利
"房山区-CSD办公楼南测,昊天北大街38号",3居 建面 132~137 ㎡ 2017年05月01日开盘 浏览,天资华府,均价 41500 元/㎡,2017年05月01日开盘 浏览,普通住宅 品牌地产 交通便利
平谷区-平谷区马坊镇,总建面 16.25万 ㎡ 2017年06月18日开盘 浏览,新华联YOYO,均价 15500 元/㎡,2017年06月18日开盘 浏览,写字楼 品牌地产 交通便利
房山区-房山区凯宾路58号院一区,现房开盘 浏览,西海别墅,均价 36000 元/㎡,,别墅 品牌地产 交通便利
朝阳区-望京南湖南路三帆中学对面,3居/4居 建面 147~210 ㎡ 2016年09月30日开盘 浏览,首开国风尚樾,均价 120000 元/㎡,2016年09月30日开盘 浏览,普通住宅 品牌地产 交通便利
朝阳区-北五环红军营东路轻轨13号线北苑站北200米,3居/4居 建面 65~251 ㎡ 2015年08月20日开盘 浏览,润景名苑（天润福熙大道）,均价 95000 元/㎡,2015年08月20日开盘 浏览,普通住宅 品牌地产 交通便利
平谷区-京平高速密三路出口南200米路西（北师大附中对面）,3居 建面 360~375 ㎡ 2017年10月01日开盘 浏览,首城汇景墅,均价 24000 元/㎡,2017年10月01日开盘 浏览,别墅 品牌地产 交通便利
通州区-运河CBD新华东街与滨河中路南500米,2居/3居 建面 89~121 ㎡ 蓄客开盘 浏览,复地中心,均价 65000 元/㎡,蓄客开盘 浏览,公寓 品牌地产 交通便利
通州区-运河CBD新华东街与滨河中路南500米,总建面 31.6万 ㎡ 2018年6月开盘 浏览,复地中心,均价 57000 元/㎡,2018年6月开盘 浏览,写字楼 品牌地产 交通便利
通州区-运河CBD新华东街与滨河中路南500米,总建面 31.6万 ㎡ 2018年6月开盘 浏览,复地中心,均价 90000 元/㎡,2018年6月开盘 浏览,综合体商铺 品牌地产 交通便利
顺义区-顺义新城昌金路向南通顺路乔波滑雪场西侧200米,2居/3居/4居 建面 90~248 ㎡ 顺销开盘 浏览,恒华安纳湖,均价 50000 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 交通便利
顺义区-林河南大街与顺仁路交汇处向北100米处路西,总建面 13万 ㎡ 顺销开盘 浏览,中国铁建顺鑫汇,均价 25000 元/㎡,顺销开盘 浏览,写字楼 品牌地产 交通便利
房山区-北京市房山区窦店镇汇丰街三号院,2居/3居 建面 122~140 ㎡ 顺销开盘 浏览,世界名园,均价 24400 元/㎡,顺销开盘 浏览,普通住宅 品牌地产 旅游地产
顺义区-北京市顺义区李遂镇顺平东路,3居/4居 建面 227~651 ㎡ 2015年09月01日开盘 浏览,易郡,均价 31000 元/㎡,2015年09月01日开盘 浏览,别墅 交通便利 非毛坯
